"id","code","name","level_id","parent_id","path"
"55283",NULL,"Nyamage","5","1238","1.43.248.1238."
"55284",NULL,"Nyamaji A","5","1256","1.43.251.1256."
"55285",NULL,"Nyamaji B","5","1256","1.43.251.1256."
"55286",NULL,"Nyamalunde","5","1234","1.43.247.1234."
"55287",NULL,"Nyamanga A","5","1251","1.43.250.1251."
"55288",NULL,"Nyamanga B","5","1251","1.43.250.1251."
"55289",NULL,"Nyamadede B","5","1257","1.43.252.1257."
"55290",NULL,"Nyamanga Central","5","1254","1.43.251.1254."
"55291",NULL,"Nyamanga West A","5","1254","1.43.251.1254."
"55292",NULL,"Nyamanga West B","5","1254","1.43.251.1254."
"55293",NULL,"Nyamangaria","5","1229","1.43.246.1229."
"55294",NULL,"Nyamanzei","5","333","1.15.67.333."
"55295",NULL,"Nyamarambe","5","1258","1.43.252.1258."
"55296",NULL,"Nyamarandi A","5","1259","1.43.252.1259."
"55297",NULL,"Nyamariwa","5","1228","1.43.246.1228."
"55298",NULL,"Nyamanga East","5","1254","1.43.251.1254."
"55299",NULL,"Nyamadede A","5","1257","1.43.252.1257."
"55300",NULL,"Nyalkinyi B","5","1244","1.43.249.1244."
"55301",NULL,"Nyalkinyi A","5","1244","1.43.249.1244."
"55302",NULL,"Nyakoyo Kobwola","5","1244","1.43.249.1244."
"55303",NULL,"Nyakoyo Kogwang","5","1244","1.43.249.1244."
"55304",NULL,"Nyakrato North","5","1253","1.43.251.1253."
"55305",NULL,"Nyakrato South","5","1253","1.43.251.1253."
"55306",NULL,"Nyaktenda","5","1234","1.43.247.1234."
"55307",NULL,"Nyakune","5","1242","1.43.249.1242."
"55308",NULL,"Nyakune A","5","1243","1.43.249.1243."
"55309",NULL,"Nyakune B","5","1243","1.43.249.1243."
"55310",NULL,"Nyakuop","5","1248","1.43.250.1248."
"55311",NULL,"Nyakwara A","5","1259","1.43.252.1259."
"55312",NULL,"Nyakwara B","5","1259","1.43.252.1259."
"55313",NULL,"Nyakwere","5","1248","1.43.250.1248."
"55314",NULL,"Nyakwere","5","1249","1.43.250.1249."
"55315",NULL,"Nyalewe","5","1251","1.43.250.1251."
"55316",NULL,"Nyalgosi","5","1223","1.43.245.1223."
"55317",NULL,"Nyaliech","5","1234","1.43.247.1234."
"55318",NULL,"Nyalik","5","1233","1.43.247.1233."
"55319",NULL,"Nyamauro A","5","1248","1.43.250.1248."
"55320",NULL,"Nyamauro B","5","1248","1.43.250.1248."
"55321",NULL,"Nyambago","5","1228","1.43.246.1228."
"55322",NULL,"Nyambare","5","1238","1.43.248.1238."
"55323",NULL,"Nyamondo Upper","5","1231","1.43.247.1231."
"55324",NULL,"Nyamonge","5","1248","1.43.250.1248."
"55325",NULL,"Nyamor","5","1251","1.43.250.1251."
"55326",NULL,"Nyamos","5","1245","1.43.250.1245."
"55327",NULL,"Nyamosi","5","1259","1.43.252.1259."
"55328",NULL,"Nyamrisra","5","1259","1.43.252.1259."
"55329",NULL,"Nyamrowa","5","1252","1.43.251.1252."
"55330",NULL,"Nyamulo","5","1229","1.43.246.1229."
"55331",NULL,"Nyamusi","5","1251","1.43.250.1251."
"55332",NULL,"Nyamwa A","5","1249","1.43.250.1249."
"55333",NULL,"Nyamwa B","5","1249","1.43.250.1249."
"55334",NULL,"Nyamwa C","5","1249","1.43.250.1249."
"55335",NULL,"Nyamwa D","5","1249","1.43.250.1249."
"55336",NULL,"Nyamware","5","1238","1.43.248.1238."
"55337",NULL,"Nyamware","5","1246","1.43.250.1246."
"55338",NULL,"Nyamware","5","1247","1.43.250.1247."
"55339",NULL,"Nyamware","5","1245","1.43.250.1245."
"55340",NULL,"Nyamondo Lower","5","1231","1.43.247.1231."
"55341",NULL,"Nyakoyo Central","5","1244","1.43.249.1244."
"55342",NULL,"Nyamogo","5","1245","1.43.250.1245."
"55343",NULL,"Nyamkuro","5","1257","1.43.252.1257."
"55344",NULL,"Nyambere A","5","1250","1.43.250.1250."
"55345",NULL,"Nyambere B","5","1250","1.43.250.1250."
"55346",NULL,"Nyambija","5","1248","1.43.250.1248."
"55347",NULL,"Nyamboni","5","334","1.15.67.334."
"55348",NULL,"Nyambori","5","1244","1.43.249.1244."
"55349",NULL,"Nyambunano A","5","1259","1.43.252.1259."
"55350",NULL,"Nyambunano B","5","1259","1.43.252.1259."
"55351",NULL,"Nyameru","5","1229","1.43.246.1229."
"55352",NULL,"Nyamgango A","5","1231","1.43.247.1231."
"55353",NULL,"Nyamgango B","5","1231","1.43.247.1231."
"55354",NULL,"Nyamgango C","5","1231","1.43.247.1231."
"55355",NULL,"Nyamila","5","1250","1.43.250.1250."
"55356",NULL,"Nyamin Abu","5","1245","1.43.250.1245."
"55357",NULL,"Nyamira","5","1238","1.43.248.1238."
"55358",NULL,"Nyamkeria A","5","1248","1.43.250.1248."
"55359",NULL,"Nyamkeria B","5","1248","1.43.250.1248."
